Hw[0]	Hw[1]	
0.712121	0.80303	
0.818182	0.727273	
0.863636	0.681818	
0.878788	0.166667	
0.80303	0.621212	
0.878788	0.651515	
0.742424	0.439394	
0.878788	0.848485	
0.80303	0.575758	
0.787879	0.439394	
0.727273	0.727273	
0.848485	0.590909	
0.772727	0.787879	
0.924242	0.560606	
0.924242	0.80303	
0.878788	0.818182	
0.878788	0.863636	
0.924242	0.772727	
0.757576	0.712121	
0.848485	0.651515	
0.80303	0.712121	
0.757576	0.80303	
0.893939	0.712121	
0.787879	0.80303	
0.166667	0.439394	
0.893939	0.878788	
0.666667	0.621212	
0.909091	0.757576	
0.924242	0.848485	
0.575758	0.318182	
0.878788	0.742424	
0.621212	0.621212	
0.772727	0.757576	
0.560606	0.712121	
0.681818	0.575758	
0.924242	0.848485	
0.878788	0.863636	
0.848485	0.818182	
0.818182	0.80303	
0.848485	0.80303	
0.878788	0.787879	
0.848485	0.80303	
0.727273	0.636364	
0.80303	0.439394	
0.878788	0.833333	
0.893939	0.742424	
0.818182	0.742424	
0.818182	0.621212	
0.893939	0.454545	
0.818182	0.863636	
0.909091	0.80303	
0.666667	0.636364	
0.954545	0.666667	
0.818182	0.712121	
0.818182	0.636364	
0.863636	0.712121	
0.833333	0.742424	
0.833333	0.530303	
0.80303	0.666667	
0.80303	0.80303	
0.848485	0.80303	
0.787879	0.80303	
0.878788	0.712121	
0.924242	0.560606	
0.924242	0.848485	
0.681818	0.833333	
0.772727	0.636364	
0.909091	0.439394	
0.848485	0.80303	
0.742424	0.666667	
0.666667	0.530303	
0.924242	0.727273	
0.818182	0.878788	
0.681818	0.681818	
0.666667	0.409091	
0.742424	0.818182	
0.80303	0.833333	
0.787879	0.772727	
0.893939	0.742424	
0.909091	0.727273	
0.893939	0.545455	
0.909091	0.757576	
0.833333	0.681818	
0.893939	0.621212	
0.893939	0.787879	
0.848485	0.878788	
0.833333	0.80303	
0.939394	0.666667	
0.757576	0.757576	
0.863636	0.742424	
0.757576	0.742424	
0.909091	0.742424	
0.909091	0.621212	
0.909091	0.575758	
0.757576	0.863636	
0.560606	0.681818	
0.833333	0.787879	
0.939394	0.681818	
0.666667	0.80303	
0.893939	0.848485	
